,index_character,name,poster,hero,url,group
35,36,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Bruce Banner (Spider-Hulk),https://static.wikia.nocookie.net/intothespiderverse/images/2/26/Bruce_Banner_ATSV.png/revision/latest?cb=20230702201452,Мультфильмы
36,37,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Burglar (Earth-616A),https://static.wikia.nocookie.net/intothespiderverse/images/2/23/Burglar_%28Earth-616A%29.png/revision/latest/scale-to-width-down/350?cb=20230919120228,Мультфильмы
37,38,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Burglar (Earth-Unknown),https://static.wikia.nocookie.net/intothespiderverse/images/2/2d/Burglar_%28Earth-Unknown%29.webp/revision/latest?cb=20230901015557,Мультфильмы
38,39,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,C. Salas,https://static.wikia.nocookie.net/intothespiderverse/images/d/dd/Salas_001.png/revision/latest/scale-to-width-down/350?cb=20210609131548,Мультфильмы
39,40,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Calleros,https://static.wikia.nocookie.net/intothespiderverse/images/3/34/Calleros_%28E-1610%29_001.png/revision/latest/scale-to-width-down/350?cb=20210712042041,Мультфильмы
40,41,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Template:Character,,Мультфильмы
41,42,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Category:Character Hubs,,Мультфильмы
42,43,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Charlotte Webber,https://static.wikia.nocookie.net/intothespiderverse/images/e/e7/Charlotte_Webber_ATSV.png/revision/latest/scale-to-width-down/350?cb=20230702174406,Мультфильмы
43,44,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Christopher Miller (Earth-13122),https://static.wikia.nocookie.net/intothespiderverse/images/f/f7/Christopher_Miller_%28Earth-13122%29.png/revision/latest?cb=20230911191657,Мультфильмы
44,45,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Cindy Moon,https://static.wikia.nocookie.net/intothespiderverse/images/d/d6/Miles%27_contacts_list_%28E-1610%29_002.png/revision/latest/scale-to-width-down/350?cb=20210809160014,Мультфильмы
45,46,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Clam,https://static.wikia.nocookie.net/intothespiderverse/images/4/42/Clam_%28Earth-Unknown%29.webp/revision/latest?cb=20230826212143,Мультфильмы
46,47,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Classic Otto Octavius,https://static.wikia.nocookie.net/intothespiderverse/images/2/29/Classic_Otto_Octavius_ATSV.png/revision/latest/scale-to-width-down/349?cb=20230814111343,Мультфильмы
47,48,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Comics Hobart Brown,,Мультфильмы
48,49,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Cyber Billygoat,https://static.wikia.nocookie.net/intothespiderverse/images/c/c3/Cyber_Billygoat_%28E-8311%29_001.png/revision/latest/scale-to-width-down/350?cb=20210720035228,Мультфильмы
